######## AREA: SIGNALS ########
MATCH rt_sigaction01         docker[P155 F0 B0 C0] carrick[P155 F0 B0 C0]
MATCH rt_sigaction02         docker[P155 F0 B0 C0] carrick[P155 F0 B0 C0]
MATCH rt_sigaction03         docker[P155 F0 B0 C0] carrick[P155 F0 B0 C0]
MATCH rt_sigprocmask01       docker[P1 F0 B0 C0] carrick[P1 F0 B0 C0]
MATCH rt_sigprocmask02       docker[P2 F0 B0 C0] carrick[P2 F0 B0 C0]
DIFF  rt_sigsuspend01        docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  rt_sigtimedwait01      docker[passed 19 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  rt_sigqueueinfo01      docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
MATCH sigaltstack01          docker[P1 F0 B0 C0] carrick[P1 F0 B0 C0]
DIFF  sigaltstack02          docker[passed 2 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 ]
DIFF  tgkill01               docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  tgkill02               docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  tgkill03               docker[passed 6 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  tkill01                docker[passed 2 failed 0 broken 0 ] carrick[TIMEOUT/P2 F0 B0 C0]
DIFF  tkill02                docker[passed 2 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 ]
DIFF  kill02                 docker[P2 F0 B0 C0] carrick[P1 F1 B0 C0]
DIFF  kill03                 docker[passed 3 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  kill05                 docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  kill06                 docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  kill07                 docker[P1 F0 B0 C0] carrick[P0 F0 B2 C0]
DIFF  kill08                 docker[P1 F0 B0 C0] carrick[]
MATCH kill09                 docker[P1 F0 B0 C0] carrick[P1 F0 B0 C0]
DIFF  kill10                 docker[P1 F0 B0 C0] carrick[TIMEOUT/]
DIFF  kill11                 docker[passed 24 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  kill12                 docker[P1 F0 B0 C0] carrick[TIMEOUT/]
MATCH kill13                 docker[P0 F0 B0 C1] carrick[P0 F0 B0 C1]
MATCH sigaction01            docker[P4 F0 B0 C0] carrick[P4 F0 B0 C0]
MATCH sigaction02            docker[P3 F0 B0 C0] carrick[P3 F0 B0 C0]
DIFF  signal01               docker[passed 6 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  signal02               docker[passed 3 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 passed 3 failed 0 broken 2 ]
DIFF  signal03               docker[passed 30 failed 0 broken 0 ] carrick[passed 9 failed 0 broken 1 ]
DIFF  signal04               docker[passed 28 failed 0 broken 0 ] carrick[passed 11 failed 0 broken 1 ]
DIFF  signal05               docker[passed 30 failed 0 broken 0 ] carrick[passed 5 failed 0 broken 1 ]
MATCH signal06               docker[P0 F0 B0 C2] carrick[P0 F0 B0 C2]
DIFF  sigpending02           docker[passed 4 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  sigsuspend01           docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sigsuspend02           docker[passed 1 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
MATCH sigprocmask01          docker[P1 F0 B0 C0] carrick[P1 F0 B0 C0]
DIFF  sighold02              docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sigrelse01             docker[P1 F0 B0 C0] carrick[]
DIFF  sigwait01              docker[passed 3 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sigwaitinfo01          docker[passed 9 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sigtimedwait01         docker[passed 11 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pause01                docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pause02                docker[P1 F0 B0 C0] carrick[]
DIFF  pause03                docker[P1 F0 B0 C0] carrick[]
DIFF  abort01                docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]

######## AREA: EPOLL ########
DIFF  epoll_create01         docker[passed 2 failed 0 broken 0 ] carrick[TIMEOUT/P0 F0 B0 C1]
DIFF  epoll_create02         docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  epoll_create1_01       docker[passed 2 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 ]
DIFF  epoll_create1_02       docker[passed 2 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 ]
DIFF  epoll_ctl01            docker[passed 3 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  epoll_ctl02            docker[passed 9 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  epoll_ctl03            docker[passed 256 failed 0 broken 0 ] carrick[passed 11 failed 0 broken 1 ]
DIFF  epoll_ctl04            docker[passed 0 failed 1 broken 0 ] carrick[passed 0 failed 1 broken 1 ]
DIFF  epoll_ctl05            docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 1 broken 1 passed 0 failed 1 broken 1 ]
DIFF  epoll_pwait01          docker[passed 4 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  epoll_pwait02          docker[passed 2 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  epoll_pwait03          docker[passed 7 failed 7 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  epoll_pwait04          docker[passed 2 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  epoll_pwait05          docker[passed 3 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  epoll_wait01           docker[passed 3 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  epoll_wait02           docker[passed 3 failed 4 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  epoll_wait03           docker[passed 5 failed 0 broken 0 ] carrick[passed 4 failed 1 broken 1 ]
DIFF  epoll_wait04           docker[passed 1 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  epoll_wait05           docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  epoll_wait06           docker[passed 9 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 2 ]
DIFF  epoll_wait07           docker[passed 5 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  eventfd01              docker[passed 4 failed 0 broken 0 ] carrick[]
DIFF  eventfd02              docker[passed 5 failed 0 broken 0 ] carrick[]
DIFF  eventfd03              docker[passed 3 failed 0 broken 0 ] carrick[]
DIFF  eventfd04              docker[passed 3 failed 0 broken 0 ] carrick[]
DIFF  eventfd05              docker[passed 2 failed 0 broken 0 ] carrick[]
MATCH eventfd06              docker[P0 F0 B0 C1] carrick[P0 F0 B0 C1]
DIFF  eventfd2_01            docker[passed 2 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 passed 2 failed 0 broken 2 ]
DIFF  eventfd2_02            docker[passed 2 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 passed 2 failed 0 broken 2 ]
DIFF  eventfd2_03            docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pipe01                 docker[passed 1 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  pipe02                 docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pipe03                 docker[passed 2 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 ]
DIFF  pipe04                 docker[P2 F0 B0 C0] carrick[]
MATCH pipe05                 docker[P1 F0 B0 C0] carrick[P1 F0 B0 C0]
DIFF  pipe06                 docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pipe07                 docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 2 ]
DIFF  pipe08                 docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 1 broken 1 ]
DIFF  pipe09                 docker[P1 F0 B0 C0] carrick[]
DIFF  pipe10                 docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pipe11                 docker[passed 70 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pipe12                 docker[passed 6 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pipe13                 docker[passed 4 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  pipe14                 docker[passed 1 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  pipe2_01               docker[passed 7 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 ]
DIFF  pipe2_02               docker[passed 1 failed 0 broken 0 ] carrick[]
DIFF  pipe2_04               docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 2 ]
DIFF  poll01                 docker[passed 2 failed 0 broken 0 ] carrick[passed 2 failed 0 broken 1 ]
DIFF  poll02                 docker[passed 2 failed 5 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  ppoll01                docker[passed 20 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
