REPOSITORY                  TAG           IMAGE ID        CREATED                 SIZE
localhost:5005/carrick-no…  <none>        9d79d5a1ff8b    23 hours ago            1.7GB
ubuntu                      <none>        95fa48676802    2 days ago              28.9MB
localhost:5050/ltp          arm64         a0f449971792    2 days ago              689.6MB
alpine                      3.20          c64c687cbea9    6 days ago              3.6MB
localhost:5050/cpython-te…  3.12.13       646d9fe0acf0    6 days ago              434.6MB
localhost:5005/carrick-no…  24.16.0-26.…  9d79d5a1ff8b    6 days ago              1.7GB
localhost:5005/carrick-go…  1.24          357a08793e68    6 days ago              1.2GB
localhost:5050/ltp          <none>        a0f449971792    1 week ago              689.6MB
localhost:5050/cpython-te…  <none>        646d9fe0acf0    1 week ago              434.6MB
localhost:5050/cpython-te…  <none>        646d9fe0acf0    1 week ago              434.6MB
python                      <none>        0568e6111802    1 week ago              43.5MB
alpine                      3.22          2c9d26f410d0    3 weeks ago             4.1MB
alpine                      <none>        2c9d26f410d0    1 month ago             4.1MB
alpine                      3.20          45e09956dc66    1 month ago             4.1MB
alpine                      3             e7a1a92a5bfe    1 month ago             4.2MB
node                        22-slim       253da19867dd    1 month ago             79.9MB
golang                      1.23          ac2b6b754dbe    1 month ago             293.4MB
golang                      latest        d86488d90771    1 month ago             304.9MB
localhost:5005/carrick-go…  <none>        357a08793e68    1 month ago             1.2GB
localhost:5005/carrick-go…  <none>        357a08793e68    1 month ago             1.2GB
node                        24-slim       af01d58b748e    1 month ago             80.2MB
ubuntu                      latest        2e05d3b43282    2 months ago            40.7MB
golang                      1.24          ffe598dd4ba5    3 months ago            315.9MB
ubuntu                      latest        d31acef2a964    3 months ago            41.6MB
hello-world                 latest        d1a8d0a4eeb6    3 months ago            3.0kB
carrick-smoke               latest        43c475c56692    3 months ago            4.1MB
hello-world                 latest        5099b89d7666    3 months ago            3.7kB
dl                          demo          3589376b85de    3 months ago            4.1MB
cap2                        demo          b4f598acf3d1    3 months ago            4.1MB
cap                         demo          559d5efd8592    3 months ago            4.1MB
ms2                         carrick       daff34131d36    3 months ago            4.1MB
copymod                     carrick       1eec266ea410    3 months ago            4.1MB
fid                         demo          c4c00a4abad0    3 months ago            4.1MB
finalcheck                  demo          9888b30951b1    3 months ago            4.1MB
s1                          latest        06020f390f0e    3 months ago            4.1MB
multistage                  demo          c13a8b924b0d    3 months ago            4.1MB
s1                          probe         d4275acce5c3    3 months ago            4.1MB
ctxtest                     demo          a2a75c616e04    3 months ago            4.1MB
localhost:5005/m2lib-test   latest        0389f833cae7    3 months ago            4.1MB
svctest                     latest        3e241fb69ca6    3 months ago            4.1MB
carrickbuilt                demo          b4dd85c97fd2    3 months ago            4.6MB
gcr.io/kaniko-project/exe…  v1.24.0       d29d0efc2476    3 months ago            33.6MB
trivial                     latest        ba10ae70cf79    3 months ago            4.6MB
gcr.io/kaniko-project/exe…  latest        d29d0efc2476    3 months ago            33.6MB
localhost:5005/cpython-te…  3.12.13       4af881c7d613    3 months ago            434.5MB
debian                      stable-slim   c5e8243f32ea    3 months ago            29.8MB
ubuntu                      24.04         cdb5fd928fce    3 months ago            29.7MB
ubuntu                      24.04         7607b6f97024    3 months ago            28.9MB
localhost:5005/carrick-no…  <none>        50d22d4ee677    3 months ago            1.7GB
localhost:5005/carrick-no…  <none>        79ef7af982e3    3 months ago            1.7GB
localhost:5005/carrick-no…  <none>        458f747be9f5    3 months ago            1.7GB
debian                      trixie        b1e30180b567    3 months ago            49.7MB
gcc                         13            fc051b48a373    3 months ago            479.3MB
localhost:5050/python       arm64         b4c6124d002b    3 months ago            43.5MB
python                      3.12          6ca8ddb8b397    3 months ago            399.8MB
debian                      stable        a1be4303ea12    3 months ago            49.3MB
alpine                      latest        4d889c14e7d5    3 months ago            3.9MB
golang                      1.24-bookwo…  ca0741815eee    3 months ago            298.3MB
debian                      stable-slim   363fbabc9911    3 months ago            30.1MB
localhost:5005/carrick-go…  latest        31bc66fa5549    4 months ago            9.1MB
python                      3.12-slim     b4c6124d002b    4 months ago            43.5MB
debian                      stable        66340f006933    4 months ago            49.7MB
alpine                      latest        378c4c5418f7    4 months ago            4.2MB
alpine                      <none>        378c4c5418f7    4 months ago            4.2MB
