  PID  PPID COMM
    1     0 /sbin/launchd
  556     1 /usr/libexec/logd
  558     1 /usr/libexec/smd
  559     1 /usr/libexec/UserEventAgent
  561     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  562     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  564     1 /usr/libexec/uarpd
  566     1 /usr/sbin/systemstats
  568     1 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  569     1 /usr/libexec/uarpassetmanagerd
  570     1 /usr/libexec/configd
  571     1 endpointsecurityd
  572     1 /System/Library/CoreServices/powerd.bundle/powerd
  573     1 /usr/libexec/IOMFB_bics_daemon
  575     1 /usr/libexec/amfid
  577     1 /usr/libexec/remoted
  579     1 /usr/libexec/keybagd
  580     1 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  581     1 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  583     1 /usr/libexec/watchdogd
  586     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  587     1 /System/Library/CoreServices/iconservicesd
  588     1 /usr/libexec/kernelmanagerd
  589     1 /usr/libexec/diskarbitrationd
  592     1 /usr/libexec/coreduetd
  593     1 /usr/sbin/syslogd
  595     1 /usr/libexec/thermalmonitord
  596     1 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  597     1 /usr/libexec/xprotectd
  598     1 /usr/libexec/opendirectoryd
  599     1 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstored
  600     1 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  601     1 /System/Library/CoreServices/launchservicesd
  602     1 /usr/libexec/timed
  603     1 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  604     1 /usr/sbin/securityd
  606     1 /usr/libexec/locationd
  607     1 /usr/libexec/nesessionmanager
  609     1 autofsd
  610     1 /usr/libexec/dasd
  611     1 /usr/libexec/corerepaird
  613     1 /usr/sbin/distnoted
  614     1 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  616     1 /System/Library/CoreServices/logind
  617     1 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  618     1 /usr/sbin/KernelEventAgent
  619     1 /usr/libexec/peakpowermanagerd
  620     1 /usr/libexec/usermanagerd
  622     1 /usr/sbin/bluetoothd
  623     1 /usr/sbin/notifyd
  624     1 /usr/libexec/sandboxd
  625     1 /usr/libexec/corebrightnessd
  626     1 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  627     1 aslmanager
  628     1 /usr/libexec/logd_helper
  629     1 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  630     1 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  631     1 /usr/libexec/dirhelper
  632     1 /usr/sbin/cfprefsd
  633     1 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  634     1 /usr/libexec/runningboardd
  648     1 /usr/libexec/powerexperienced
  651     1 /usr/libexec/ospredictiond
  657     1 /usr/libexec/securityd_system
  661     1 /System/Library/CoreServices/coreservicesd
  668     1 /usr/libexec/trustd
  680     1 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  684     1 /usr/libexec/lsd
  693     1 /usr/libexec/clocksyncd
  696     1 /usr/sbin/mDNSResponder
  698     1 /usr/libexec/mobileassetd
  702     1 /System/Library/CoreServices/TimeMachine/backupd-helper
  703     1 /usr/libexec/PowerUIAgent
  706     1 /usr/libexec/hidd
  708     1 /usr/libexec/airportd
  709     1 /usr/libexec/nehelper
  710     1 /usr/libexec/symptomsd
