  PID  %CPU COMM
    1   0.3 /sbin/launchd
  556   0.2 /usr/libexec/logd
  558   0.0 /usr/libexec/smd
  559   0.0 /usr/libexec/UserEventAgent
  561   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  562   0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  564   0.0 /usr/libexec/uarpd
  566   0.0 /usr/sbin/systemstats
  568   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  569   0.0 /usr/libexec/uarpassetmanagerd
  570   0.0 /usr/libexec/configd
  571   0.0 endpointsecurityd
  572   0.0 /System/Library/CoreServices/powerd.bundle/powerd
  573   0.0 /usr/libexec/IOMFB_bics_daemon
  575   0.0 /usr/libexec/amfid
  577   0.0 /usr/libexec/remoted
  579   0.0 /usr/libexec/keybagd
  580   0.0 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  581   0.0 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  583   0.0 /usr/libexec/watchdogd
  586   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  587   0.0 /System/Library/CoreServices/iconservicesd
  588   0.0 /usr/libexec/kernelmanagerd
  589   0.1 /usr/libexec/diskarbitrationd
  592   0.0 /usr/libexec/coreduetd
  593   0.0 /usr/sbin/syslogd
  595   0.0 /usr/libexec/thermalmonitord
  596   0.0 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  597   0.0 /usr/libexec/xprotectd
  598   0.5 /usr/libexec/opendirectoryd
  599   0.0 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstored
  600   0.0 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  601   0.0 /System/Library/CoreServices/launchservicesd
  602   0.0 /usr/libexec/timed
  603   0.0 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  604   0.0 /usr/sbin/securityd
  606   0.0 /usr/libexec/locationd
  607   0.0 /usr/libexec/nesessionmanager
  609   0.0 autofsd
  610   0.0 /usr/libexec/dasd
  611   0.0 /usr/libexec/corerepaird
  613   0.0 /usr/sbin/distnoted
  614   0.0 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  616   0.0 /System/Library/CoreServices/logind
